Time,Open,High,Low,Close,Volume
2019.02.22 13:00:00,1.13412,1.13443,1.13347,1.1338,2083
2019.02.22 12:00:00,1.13393,1.13416,1.13345,1.13412,1988
2019.02.22 11:00:00,1.13477,1.13484,1.13377,1.13393,2618
2019.02.22 10:00:00,1.13459,1.13512,1.13412,1.13478,2738
2019.02.22 09:00:00,1.13427,1.13488,1.13409,1.13459,2068
2019.02.22 08:00:00,1.13378,1.13444,1.13356,1.13429,1216
2019.02.22 07:00:00,1.13359,1.13383,1.13323,1.13378,937
2019.02.22 06:00:00,1.13386,1.13386,1.13321,1.13359,1059
2019.02.22 05:00:00,1.13389,1.13394,1.13315,1.13385,1296
2019.02.22 04:00:00,1.13371,1.13399,1.13363,1.1339,1268
2019.02.22 03:00:00,1.13387,1.13399,1.13319,1.13371,1661
2019.02.22 02:00:00,1.13393,1.13414,1.13377,1.13388,1258
2019.02.22 01:00:00,1.13356,1.13397,1.13342,1.13393,863
2019.02.22 00:00:00,1.13319,1.13373,1.13295,1.13357,1185
2019.02.21 23:00:00,1.13379,1.13394,1.13314,1.1333,960
2019.02.21 22:00:00,1.13359,1.13403,1.13327,1.13379,1875
2019.02.21 21:00:00,1.13292,1.13365,1.13267,1.13359,2168
2019.02.21 20:00:00,1.13299,1.13321,1.13265,1.13292,2807
2019.02.21 19:00:00,1.13378,1.13379,1.13226,1.13299,3979
2019.02.21 18:00:00,1.13469,1.13476,1.13303,1.13379,4942
2019.02.21 17:00:00,1.13426,1.13518,1.13396,1.13469,5521
2019.02.21 16:00:00,1.13618,1.13655,1.13378,1.13426,5240
2019.02.21 15:00:00,1.13515,1.1366,1.13483,1.13618,6068
2019.02.21 14:00:00,1.13496,1.13564,1.13487,1.13512,4106
2019.02.21 13:00:00,1.13439,1.13497,1.13379,1.13496,3215
2019.02.21 12:00:00,1.13269,1.13443,1.13231,1.13439,3083
2019.02.21 11:00:00,1.13554,1.13554,1.13217,1.1327,4641
2019.02.21 10:00:00,1.13344,1.13629,1.13341,1.13554,6830
2019.02.21 09:00:00,1.13299,1.13393,1.13197,1.13344,4229
2019.02.21 08:00:00,1.13357,1.13357,1.13248,1.13298,2347
2019.02.21 07:00:00,1.13494,1.13524,1.13351,1.13357,2472
2019.02.21 06:00:00,1.13477,1.13513,1.13467,1.13493,1029
2019.02.21 05:00:00,1.13379,1.13499,1.13369,1.13477,1170
2019.02.21 04:00:00,1.1334,1.134,1.1334,1.13378,1203
2019.02.21 03:00:00,1.13423,1.13436,1.13322,1.1334,2668
2019.02.21 02:00:00,1.13459,1.13477,1.134,1.13423,1700
2019.02.21 01:00:00,1.13446,1.13466,1.13429,1.13458,669
2019.02.21 00:00:00,1.13368,1.13459,1.13354,1.13448,1439
2019.02.20 23:00:00,1.13396,1.13407,1.13351,1.13351,876
2019.02.20 22:00:00,1.1351,1.1351,1.13396,1.13396,3016
2019.02.20 21:00:00,1.13627,1.13663,1.13346,1.13508,7203
2019.02.20 20:00:00,1.13655,1.13707,1.13619,1.13631,2773
2019.02.20 19:00:00,1.13678,1.137,1.136,1.13655,2916
2019.02.20 18:00:00,1.13487,1.13691,1.13475,1.13677,4757
2019.02.20 17:00:00,1.13377,1.13499,1.13354,1.13487,5532
2019.02.20 16:00:00,1.13362,1.13407,1.13296,1.13377,4151
2019.02.20 15:00:00,1.13393,1.13452,1.13312,1.13362,3933
2019.02.20 14:00:00,1.13352,1.13457,1.13243,1.13394,3622
2019.02.20 13:00:00,1.13419,1.13419,1.13297,1.13352,2520
2019.02.20 12:00:00,1.13465,1.13469,1.13367,1.13419,2091
2019.02.20 11:00:00,1.13444,1.1358,1.1341,1.13465,3306
2019.02.20 10:00:00,1.13431,1.13527,1.13363,1.13444,3942
2019.02.20 09:00:00,1.13334,1.13453,1.13311,1.13431,2565
